id,category,brand,name,price,image,link
1,women,Enza Costa,Twill Everywhere Pant,CA$ 408.76,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-enza-costa-twill-everywhere-pant-in-black/ENZF-WP57/?d=Womens&itrownum=1&itcurrpage=1&itview=05
2,women,FWRD Renew,Dior Lace Up Dress,CA$ 2606.39,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-fwrd-renew-dior-lace-up-dress-in-black/FNEF-WD117/?d=Womens&itrownum=1&itcurrpage=1&itview=05
3,women,Enza Costa,Twill Everywhere Pant,CA$ 408.76,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-enza-costa-twill-everywhere-pant-in-off-white/ENZF-WP45/?d=Womens&itrownum=1&itcurrpage=1&itview=05
4,women,Alex Perry,Satin Bustier Midi Dress,CA$ 3080.28,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-alex-perry-satin-bustier-midi-dress-in-sepia/APEF-WD179/?d=Womens&itrownum=2&itcurrpage=1&itview=05
5,women,Saint Laurent,Long Sleeve Mini Dress,CA$ 8687.96,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-saint-laurent-long-sleeve-mini-dress-in-vert-kaki/SLAU-WD287/?d=Womens&itrownum=2&itcurrpage=1&itview=05
6,women,Helsa,Linen Button Down Shirt,CA$ 363.31,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-helsa-linen-button-down-shirt-in-chambray-blue/HLSA-WS50/?d=Womens&itrownum=2&itcurrpage=1&itview=05
7,women,Alex Perry,Crystal Velvet Strapless Mini Dress,CA$ 2843.33,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-alex-perry-crystal-velvet-strapless-mini-dress-in-black/APEF-WD173/?d=Womens&itrownum=3&itcurrpage=1&itview=05
8,women,Alex Perry,Draped Open Back Maxi Dress,CA$ 2527.41,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-alex-perry-draped-open-back-maxi-dress-in-sepia/APEF-WD175/?d=Womens&itrownum=3&itcurrpage=1&itview=05
9,women,Alex Perry,Lurex Pinstripe Strapless Mini Dress,CA$ 2843.33,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-alex-perry-lurex-pinstripe-strapless-mini-dress-in-mauve/APEF-WD176/?d=Womens&itrownum=3&itcurrpage=1&itview=05
10,women,Alex Perry,Ruched Mesh Maxi Dress,CA$ 2843.33,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-alex-perry-ruched-mesh-maxi-dress-in-sepia/APEF-WD178/?d=Womens&itrownum=4&itcurrpage=1&itview=05
11,women,Alex Perry,Plunging Satin Maxi Dress,CA$ 4107.04,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-alex-perry-plunging-satin-maxi-dress-in-lemon/APEF-WD181/?d=Womens&itrownum=4&itcurrpage=1&itview=05
12,women,FWRD Renew,Jean Paul Gaultier Long Sleeve Top,CA$ 1295.57,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-fwrd-renew-jean-paul-gaultier-long-sleeve-top-in-multi/FNEF-WS83/?d=Womens&itrownum=4&itcurrpage=1&itview=05
13,women,FWRD Renew,Roberto Cavalli Corset Top,CA$ 1295.57,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-fwrd-renew-roberto-cavalli-corset-top-in-black/FNEF-WS85/?d=Womens&itrownum=5&itcurrpage=1&itview=05
14,women,FWRD Renew,Roberto Cavalli Corset Top,CA$ 1295.57,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-fwrd-renew-roberto-cavalli-corset-top-in-grey/FNEF-WS89/?d=Womens&itrownum=5&itcurrpage=1&itview=05
15,women,FWRD Renew,Dior Silk Wrap Top,CA$ 1521.16,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-fwrd-renew-dior-silk-wrap-top-in-burgundy/FNEF-WS90/?d=Womens&itrownum=5&itcurrpage=1&itview=05
16,women,Saint Laurent,Sleeveless Bodysuit,CA$ 2777.93,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-saint-laurent-sleeveless-bodysuit-in-noisette/SLAU-WS408/?d=Womens&itrownum=6&itcurrpage=1&itview=05
17,women,FWRD Renew,Jean Paul Gaultier Deep V Top,CA$ 830.69,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-fwrd-renew-jean-paul-gaultier-deep-v-top-in-blue/FNEF-WS84/?d=Womens&itrownum=6&itcurrpage=1&itview=05
18,women,Sandy Liang,Cupids Dress,CA$ 710.83,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-sandy-liang-cupids-dress-in-black/SLGF-WD46/?d=Womens&itrownum=6&itcurrpage=1&itview=05
19,women,SABLYN,Hailey B Cropped Mock Neck Longsleeve Top,CA$ 450.33,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-sablyn-hailey-b-cropped-mock-neck-longsleeve-top-in-black/SABF-WS248/?d=Womens&itrownum=7&itcurrpage=1&itview=05
20,women,SABLYN,Hailey B Cropped Mock Neck Longsleeve Top,CA$ 450.33,https://is4.fwrdassets.com/fw/assets/main/source/blank.gif,https://www.fwrd.com/product-sablyn-hailey-b-cropped-mock-neck-longsleeve-top-in-gardenia/SABF-WS249/?d=Womens&itrownum=7&itcurrpage=1&itview=05
